Oversigt over cyklus 1
;StartsDato;Varighed;Cykluslængde;Næste Cyklus start;;;
2021-11-28;0;4;31;31;;;
2021-12-29;31;4;35;65;;;
2022-02-02;66;5;33;98;;;
2022-03-07;99;5;30;128;;;
2022-04-06;129;5;30;158;;;
2022-05-06;159;5;31;189;;;
2022-06-06;190;5;30;219;;;
2022-07-06;220;3;34;253;;;
2022-08-09;254;4;31;284;;;
2022-09-09;285;4;30;314;;;
2022-10-09;315;4;30;344;;;
2022-11-08;345;4;28;372;;;
2022-12-06;373;5;32;404;;;
2023-01-07;405;6;32;436;;;
2023-02-08;437;6;30;465;;;
2023-03-10;466;6;27;492;;;
2023-04-06;493;6;35;527;;;
2023-05-11;528;6;35;562;;;
2023-06-15;563;4;25;587;;;
2023-07-10;588;4;31;618;;;
2023-08-10;619;6;29;647;;;
2023-09-08;648;6;30;677;;;
2023-10-08;678;7;33;710;;;
2023-11-10;711;7;35;745;;;
2023-12-15;746;7;29;774;;;
